"","x"
"1","있pa"
"2","없pa"
"3","아니pa"
"4","않pa"
"5","많pa"
"6","같pa"
"7","되pa"
"8","크pa"
"9","새롭pa"
"10","그렇pa"
"11","좋pa"
"12","못하pa"
"13","이렇pa"
"14","어떻pa"
"15","어렵pa"
"16","갖pa"
"17","싶pa"
"18","이러하pa"
"19","높pa"
"20","쓰pa"
"21","인하pa"
"22","다르pa"
"23","젊pa"
"24","뜨pa"
"25","어떠하pa"
"26","깊pa"
"27","이르pa"
"28","당하pa"
"29","고맙pa"
"30","나쁘pa"
"31","늦pa"
"32","가깝pa"
"33","안타깝pa"
"34","낡pa"
"35","반갑pa"
"36","수많pa"
"37","부끄럽pa"
"38","쉽pa"
"39","강하pa"
"40","아프pa"
"41","똑같pa"
"42","빠르pa"
"43","옳pa"
"44","달pa"
"45","뜨겁pa"
"46","작pa"
"47","두렵pa"
"48","그러하pa"
"49","무르pa"
"50","멀pa"
"51","안되pa"
"52","바람직하pa"
"53","아쉽pa"
"54","더하pa"
"55","낮pa"
"56","무섭pa"
"57","바르pa"
"58","춥pa"
"59","바쁘pa"
"60","짧pa"
"61","올바르pa"
"62","놀랍pa"
"63","터무니없pa"
"64","정하pa"
"65","기쁘pa"
"66","어쩌pa"
"67","싫pa"
"68","장하pa"
"69","기하pa"
"70","살아있pa"
"71","급하pa"
"72","괜찮pa"
"73","약하pa"
"74","심하pa"
"75","차pa"
"76","무겁pa"
"77","어리pa"
"78","더럽pa"
"79","뒤늦pa"
"80","엄청나pa"
"81","밝pa"
"82","비싸pa"
"83","어이없pa"
"84","넓pa"
"85","굳pa"
"86","듯하pa"
"87","잘pa"
"88","다름없pa"
"89","우습pa"
"90","싸pa"
"91","편하pa"
"92","낫pa"
"93","오래pa"
"94","짙pa"
"95","힘겹pa"
"96","아름답pa"
"97","걸맞pa"
"98","폭넓pa"
"99","커다랗pa"
"100","가하pa"
"101","거칠pa"
"102","적pa"
"103","동떨어지pa"
"104","뭐하pa"
"105","계시pa"
"106","그르pa"
"107","반하pa"
"108","거세pa"
"109","그지없pa"
"110","꼼꼼하pa"
"111","힘없pa"
"112","가볍pa"
"113","귀하pa"
"114","들어있pa"
"115","별다르pa"
"116","뼈아프pa"
"117","뼈저리pa"
"118","슬프pa"
"119","생생하pa"
"120","따갑pa"
"121","숱하pa"
"122","흐리pa"
"123","유례없pa"
"124","줄기차pa"
"125","새빨갛pa"
"126","어둡pa"
"127","즐겁pa"
"128","헛되pa"
"129","멋지pa"
"130","힘차pa"
"131","맑pa"
"132","못지않pa"
"133","시끄럽pa"
"134","지겹pa"
"135","너무하pa"
"136","속하pa"
"137","아깝pa"
"138","잦pa"
"139","길pa"
"140","끝없pa"
"141","날카롭pa"
"142","뻔하pa"
"143","어설프pa"
"144","턱없pa"
"145","노리pa"
"146","놀pa"
"147","덥pa"
"148","얼토당토않pa"
"149","서글프pa"
"150","착하pa"
"151","한결같pa"
"152","뜬금없pa"
"153","맛있pa"
"154","쓸데없pa"
"155","오락가락하pa"
"156","틀림없pa"
"157","남다르pa"
"158","누르pa"
"159","손쉽pa"
"160","좁pa"
"161","궂pa"
"162","그만이pa"
"163","끊임없pa"
"164","눈물겹pa"
"165","두텁pa"
"166","못되pa"
"167","세pa"
"168","차갑pa"
"169","푸르pa"
"170","험하pa"
"171","괜하pa"
"172","꿋꿋하pa"
"173","끈질기pa"
"174","밤늦pa"
"175","비뚤pa"
"176","어리석pa"
"177","저렇pa"
"178","고달프pa"
"179","까다롭pa"
"180","까지pa"
"181","똑똑하pa"
"182","못나pa"
"183","아낌없pa"
"184","예쁘pa"
"185","조건없pa"
"186","가파르pa"
"187","괴롭pa"
"188","느닷없pa"
"189","다되pa"
"190","두드러지pa"
"191","드물pa"
"192","무디pa"
"193","얕pa"
"194","이롭pa"
"195","점하pa"
"196","추하pa"
"197","크나크pa"
"198","기울pa"
"199","도지pa"
"200","딱하pa"
